season,method,n,runtime_sec,model_applicable,applicability_reason,pred_directed_edges,pred_undirected_edges,n_pred_directed_edges,n_pred_undirected_edges,skeleton_precision,skeleton_recall,skeleton_f1,skeleton_tp,skeleton_fp,skeleton_fn,directed_precision,directed_recall,directed_f1,directed_tp,directed_fp,directed_fn,exact_recovery
2015-16,Poisson DAG (ODS-style),9840,0.462220299988985,True,,"FOUL->FTA, FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTM->FTA, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, LOOSE_BALL_FOUL_DRAWN->PERS_FOUL_DRAWN, PERS_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FTM",(none),10,0,0.4,1.0,0.5714285714285715,4,6,0,0.3,0.75,0.4285714285714285,3,7,1,False
2015-16,PC (RCIT),9840,7.083553100004792,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.2222222222222222,1,4,3,False
2015-16,PB-SCM (Cumulant),9840,0.2653255999903194,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,(none),(none),0,0,0.0,0.0,0.0,0,0,4,0.0,0.0,0.0,0,0,4,False
2015-16,PB-SCM (PGF),9840,0.7377863000147045,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FTA->FOUL, FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->FOUL",(none),6,0,0.6666666666666666,1.0,0.8,4,2,0,0.3333333333333333,0.5,0.4,2,4,2,False
2016-17,Poisson DAG (ODS-style),9840,0.9271884000045248,True,,"FOUL->FTA, FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTM->FTA, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, LOOSE_BALL_FOUL_DRAWN->PERS_FOUL_DRAWN, PERS_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FTM",(none),10,0,0.4,1.0,0.5714285714285715,4,6,0,0.3,0.75,0.4285714285714285,3,7,1,False
2016-17,PC (RCIT),9840,7.201912700023968,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.2222222222222222,1,4,3,False
2016-17,PB-SCM (Cumulant),9840,1.5539658999769017,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,"FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN",(none),2,0,1.0,0.5,0.6666666666666666,2,0,2,1.0,0.5,0.6666666666666666,2,0,2,False
2016-17,PB-SCM (PGF),9840,0.6616814999724738,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FTA->FTM","FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",2,3,0.8,1.0,0.888888888888889,4,1,0,0.5,0.25,0.3333333333333333,1,1,3,False
2017-18,Poisson DAG (ODS-style),9840,0.9108785000280476,True,,"FOUL->FTA, FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTM->FTA, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, LOOSE_BALL_FOUL_DRAWN->PERS_FOUL_DRAWN, PERS_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FTM",(none),10,0,0.4,1.0,0.5714285714285715,4,6,0,0.3,0.75,0.4285714285714285,3,7,1,False
2017-18,PC (RCIT),9840,6.220327500021085,True,,(none),"FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN, FTA--FTM, FTA--LOOSE_BALL_FOUL_DRAWN, FTA--PERS_FOUL_DRAWN, LOOSE_BALL_FOUL_DRAWN--PERS_FOUL_DRAWN",0,7,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.0,0.0,0.0,0,0,4,False
2017-18,PB-SCM (Cumulant),9840,2.298218599986285,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,FOUL->FTA,"FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",1,2,1.0,0.75,0.8571428571428571,3,0,1,1.0,0.25,0.4,1,0,3,False
2017-18,PB-SCM (PGF),9840,0.6983393999980763,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTA, FOUL->FTM, FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FTM","FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",5,2,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.4,0.5,0.4444444444444445,2,3,2,False
2018-19,Poisson DAG (ODS-style),9840,0.8620778999757022,True,,"FOUL->FTA, FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTM->FTA, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FTM, PERS_FOUL_DRAWN->LOOSE_BALL_FOUL_DRAWN",(none),10,0,0.4,1.0,0.5714285714285715,4,6,0,0.3,0.75,0.4285714285714285,3,7,1,False
2018-19,PC (RCIT),9840,7.923618800006807,True,,(none),"FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN, FTA--FTM, FTA--LOOSE_BALL_FOUL_DRAWN, FTA--PERS_FOUL_DRAWN, LOOSE_BALL_FOUL_DRAWN--PERS_FOUL_DRAWN",0,7,0.5714285714285714,1.0,0.7272727272727273,4,3,0,0.0,0.0,0.0,0,0,4,False
2018-19,PB-SCM (Cumulant),9840,1.5170275999698788,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,FOUL->PERS_FOUL_DRAWN,FOUL--LOOSE_BALL_FOUL_DRAWN,1,1,1.0,0.5,0.6666666666666666,2,0,2,1.0,0.25,0.4,1,0,3,False
2018-19,PB-SCM (PGF),9840,0.6817201999947429,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FOUL->PERS_FOUL_DRAWN, FTA->FOUL, FTA->FTM",(none),4,0,0.75,0.75,0.75,3,1,1,0.5,0.5,0.5,2,2,2,False
2019-20,Poisson DAG (ODS-style),8448,0.762577599962242,True,,"FOUL->FTA, FOUL->FTM, FOUL->LOOSE_BALL_FOUL_DRAWN, FOUL->PERS_FOUL_DRAWN, FTM->FTA, LOOSE_BALL_FOUL_DRAWN->FTA, LOOSE_BALL_FOUL_DRAWN->FTM, LOOSE_BALL_FOUL_DRAWN->PERS_FOUL_DRAWN, PERS_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FTM",(none),10,0,0.4,1.0,0.5714285714285715,4,6,0,0.3,0.75,0.4285714285714285,3,7,1,False
2019-20,PC (RCIT),8448,5.335785100003704,True,,"FTA->FTM, LOOSE_BALL_FOUL_DRAWN->FOUL, LOOSE_BALL_FOUL_DRAWN->FTA, PERS_FOUL_DRAWN->FOUL, PERS_FOUL_DRAWN->FTA",FOUL--FTA,5,1,0.6666666666666666,1.0,0.8,4,2,0,0.2,0.25,0.2222222222222222,1,4,3,False
2019-20,PB-SCM (Cumulant),8448,1.3692520000040531,False,Raw NBA counts violate PB-SCM binomial-thinning constraints: the positive reference-edge coefficients exceed 1.,FOUL->PERS_FOUL_DRAWN,FOUL--LOOSE_BALL_FOUL_DRAWN,1,1,1.0,0.5,0.6666666666666666,2,0,2,1.0,0.25,0.4,1,0,3,False
2019-20,PB-SCM (PGF),8448,0.5870270000305027,False,The PGF procedure assumes the same PB-SCM binomial-thinning model; the positive reference-edge coefficients exceed 1.,"FOUL->FTM, FTA->FTM","FOUL--FTA, FOUL--LOOSE_BALL_FOUL_DRAWN, FOUL--PERS_FOUL_DRAWN",2,3,0.8,1.0,0.888888888888889,4,1,0,0.5,0.25,0.3333333333333333,1,1,3,False
